px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	-3.04035	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0	6.95332e-310
8.31505	0.243462	-2.87481	0	0	8.44818	0.251553	8.45	0.25	-3.00027	0	0.815088
8.31737	0.243462	-0.0258742	-2.5682e-10	-1.0261e-08	8.56759	0.241943	8.45	0.25	0	0	3.23384
8.3254	0.243462	-0.00535298	-1.43534e-10	-1.9116e-09	8.45582	0.253997	8.45	0.25	0	0	0.814935
8.22298	0.243462	-1.59749	-2.17389e-08	-1.5927e-07	8.42544	0.254042	8.35	0.25	-1.81979	0	21.8005
8.14305	0.243462	-1.58	-9.27976e-08	-6.899e-07	8.23962	0.24916	8.25	0.25	-1.81978	0	0.449669
7.93871	0.243452	-3.49064	9.38227e-05	0.000606535	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	36.8622
7.77025	0.243431	-3.47945	0.00013774	0.000678231	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	0.550266
7.62039	0.242913	-3.2549	0.00166345	0.00721019	7.61269	0.155818	7.7	0.15	-2.99982	0	15.0282
7.46447	0.242589	-3.24313	0.00208445	0.00743725	7.54016	0.159641	7.55	0.15	-2.99982	0	0.583481
7.38363	0.237713	-2.07571	0.0117984	0.0374095	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	55.3237
7.27577	0.236051	-2.06395	0.0142523	0.0385212	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	2.02417
7.14846	0.21714	-2.68454	0.0468103	0.114814	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	109.238
7.00573	0.209157	-2.67746	0.0541746	0.117226	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	3.18342
6.93773	0.143383	-1.8347	0.151013	0.307254	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	241.528
6.83825	0.125633	-1.84125	0.170381	0.312046	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	6.60215
6.70031	-0.00645456	-2.22956	0.341014	0.592612	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	385.63
6.59842	-0.0478521	-2.24093	0.373957	0.598346	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	7.78749
6.4268	-0.242464	-1.71971	0.594648	0.912882	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	394.403
6.37311	-0.294393	-1.7226	0.643967	0.918611	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	7.37597
6.11373	-0.562768	-1.98837	0.867606	1.18399	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	366.878
6.07867	-0.651762	-1.9983	0.939648	1.19398	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	14.1544
5.8474	-0.97035	-3.96951	1.06559	1.28575	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	96.3645
5.78907	-1.16676	-3.94449	1.14595	1.29874	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	10.8009
5.88145	-1.36245	-2.89335	1.36895	1.54455	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	153.362
5.89503	-1.53024	-2.94011	1.46541	1.55855	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	11.3225
5.83553	-1.65029	-2.4053	1.49909	1.48889	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	31.7385
5.86389	-1.78259	-2.44965	1.58363	1.49975	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	8.40373
5.90338	-1.97725	-3.362	1.68027	1.53101	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	14.6105
5.96067	-2.15381	-3.3852	1.76791	1.54238	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	7.52907
5.96404	-2.25134	-2.12572	1.82922	1.50795	6.32593	-2.40018	6.35	-2.4	0	-2.72613	18.4246
6.02819	-2.37618	-2.17211	1.92119	1.51578	6.34927	-2.55175	6.35	-2.55	0	-2.72611	6.47776
6.07629	-2.54529	-2.63246	1.98756	1.49382	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851	5.72088
6.16643	-2.68721	-2.67916	2.07763	1.50031	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851	4.61342
6.17669	-2.81166	-2.07542	2.10162	1.43677	6.46536	-3.00452	6.45	-3	0	-2.99754	22.3829
6.25483	-2.91168	-2.12166	2.17882	1.44011	6.44119	-3.14955	6.45	-3.15	0	-2.99754	4.37559
6.29266	-3.10018	-2.61862	2.18146	1.34993	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312	39.465
6.39941	-3.22657	-2.66697	2.25951	1.35182	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312	3.56562
6.4587	-3.4069	-2.99315	2.26116	1.26736	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583	26.0585
6.59026	-3.5428	-3.04177	2.33478	1.26894	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581	3.5637
6.61704	-3.69619	-2.51514	2.31366	1.16283	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396	36.5919
6.73427	-3.80832	-2.56362	2.37934	1.16205	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393	3.73453
6.75272	-3.97146	-2.43653	2.336	1.0387	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801	51.5232
6.86557	-4.07816	-2.4808	2.393	1.03637	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799	3.63848
6.86266	-4.21816	-1.90577	2.34294	0.912129	7.05156	-4.49706	7	-4.45	0.910054	-1.8201	59.8289
6.95534	-4.30441	-1.94833	2.3928	0.909831	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201	3.22173
6.99452	-4.45507	-2.29315	2.35481	0.808374	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489	45.1883
7.1028	-4.55691	-2.33775	2.39751	0.804447	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489	4.43483
7.16772	-4.75507	-3.06984	2.33267	0.675687	7.3138	-5.05204	7.25	-5	1.81907	-2.72861	68.5097
7.29871	-4.88712	-3.1051	2.36707	0.67112	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861	3.31525
7.31963	-5.06528	-2.63724	2.28869	0.529872	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	59.5761
7.43013	-5.18693	-2.67568	2.31488	0.52507	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	3.33415
7.47843	-5.36069	-2.67995	2.26101	0.423821	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	32.2652
7.58663	-5.48523	-2.71247	2.28281	0.421103	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	1.74452
7.63231	-5.64347	-2.56156	2.23887	0.338962	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	21.7695
7.72975	-5.76384	-2.58968	2.25515	0.335498	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	1.69578
7.8211	-5.95862	-3.57529	2.22173	0.274537	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	21.5681
7.93803	-6.10862	-3.59448	2.234	0.272289	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	0.879066
8.00834	-6.25397	-2.79413	2.21555	0.229395	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	11.3628
8.10865	-6.38275	-2.8101	2.22799	0.228852	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0.370241
8.17274	-6.52183	-2.64313	2.21004	0.191031	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	4.9892
8.26401	-6.64399	-2.6578	2.21905	0.188998	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	0.510296
8.33858	-6.78901	-2.79261	2.20457	0.158654	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	3.50781
8.43286	-6.9155	-2.80037	2.21295	0.158131	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0.0946998
8.49268	-7.0409	-2.6848	2.19698	0.128927	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	3.33297
8.57386	-7.15396	-2.69455	2.20193	0.126971	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	0.405838
8.66194	-7.32774	-3.44275	2.18073	0.0937641	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	9.65364
8.76198	-7.472	-3.44972	2.18407	0.0920187	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	0.2584
8.80796	-7.59481	-2.34719	2.15961	0.0546823	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	14.9962
8.87938	-7.70385	-2.35196	2.16133	0.0530888	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	0.172383
8.94043	-7.85477	-2.85016	2.13556	0.0192459	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	6.53384
9.01534	-7.97684	-2.85407	2.13473	0.017085	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	0.312687
9.04257	-8.09333	-2.11878	2.10257	-0.0228753	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	10.7969
9.10061	-8.19525	-2.12292	2.09991	-0.0245231	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0.18394
9.15744	-8.35727	-2.84967	2.06978	-0.0579437	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	9.47714
9.22315	-8.48387	-2.85396	2.06469	-0.0604907	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	0.413961
9.2498	-8.61337	-2.21268	2.02767	-0.100695	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	9.40853
9.30107	-8.72356	-2.21638	2.02038	-0.102703	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0.234869
9.39662	-8.96351	-4.24709	2.00002	-0.11896	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	36.6493
9.48178	-9.15533	-4.24469	1.99321	-0.119879	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	0.0580223
9.51459	-9.26294	-2.72215	1.97366	-0.139048	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	22.472
9.56462	-9.38506	-2.71581	1.96655	-0.139068	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	0.0801463
